Item_Name,Item_ID
Copycat Bulb,23027
Wind-up Aidoneus,39484
Wind-up Philos,38453
Golden Beaver,32858
Wisp of Darkness,44492
Yan Horn,46829
Night Pegasus,16564
Fortune Carrot,48096
Dais of Darkness,44500
Pinky,39491
Ty’aitya,43590
Wivre,36005
Half Times two,44507
Barreltender,44502
cosmoboard,47336
rroneek horn,43598
Eggeater Horn,44503
Venturous Kamuy Flute,44958
Sabotender de la Luna Whistle,41494
Magicked Children's Bed,40390
Wondrous Lanner Whistle,38457
Troll Horn,36904
Calydontis Horn,36003
Incitatus Whistle,30865
Construct VI-S Core,33145
Rroneek Calf,46777
Tin Soldier S3,44490
Kydonia Strolls,41475
Chimpanzee,40374
Corgi,39474
Pterosquirrel,38450
Sand Fox,30874
Quaqua Horn,41499
Pixie wings,36343
Phaethon Horn,39490
mount token,41807
Turali Gemstone,43961
Bicolor Gemstone,35833
Orthos Craklaw,36911
Sil’dihn Throne,38461
Shishioji Flute,40388
Chrysomallos Horn ,39494
Mini Yan,47964
Gimme Kitten,47965
Anteater,33691
